"","CurrentSpecies","n"
"1","Achnatherum hymenoides",200
"2","Aristida purpurea",21
"3","Artemisia bigelovii",26
"4","Artemisia filifolia",82
"5","Astragalus amphioxys",23
"6","Astragalus ceramicus",5
"7","Astragalus mollissimus",24
"8","Atriplex canescens",214
"9","Atriplex confertifolia",1
"10","Bouteloua barbata",11
"11","Bouteloua eriopoda",64
"12","Bouteloua gracilis",317
"13","Bromus tectorum",26
"14","Calochortus aureus",10
"15","Chaenactis stevioides",26
"16","Chaetopappa ericoides",126
"17","Chamaesaracha coronopus",20
"18","Chenopodium leptophyllum",16
"19","Chrysothamnus greenei",90
"20","Comandra umbellata",17
"21","Cylindropuntia whipplei",2
"22","Dalea candida",2
"23","Descurainia pinnata",87
"24","Dieteria canescens",19
"25","Dimorphocarpa wislizeni",9
"26","Echinocereus triglochidiatus",2
"27","Elymus elymoides",44
"28","Ephedra cutleri",10
"29","Ephedra torreyana",20
"30","Ephedra viridis",3
"31","Erigeron divergens",8
"32","Eriogonum deflexum",2
"33","Erysimum capitatum",10
"34","Escobaria vivipara",3
"35","Evolvulus nuttallianus",46
"36","Gutierrezia sarothrae",172
"37","Hesperostipa comata",125
"38","Hilaria jamesii",299
"39","Hordeum murinum",2
"40","Hymenopappus filifolius",5
"41","Hymenopappus flavescens",16
"42","Ipomopsis longiflora",65
"43","Isocoma rusbyi",1
"44","Kochia scoparia",4
"45","Krascheninnikovia lanata",37
"46","Laennecia coulteri",3
"47","Lappula occidentalis",4
"48","Linum aristatum",6
"49","Menodora scabra",1
"50","Mentzelia albicaulis",28
"51","Mentzelia multiflora",1
"52","Mollugo cerviana",1
"53","Muhlenbergia pungens",2
"54","Muhlenbergia torreyi",50
"55","Munroa squarrosa",29
"56","Nama dichotoma",2
"57","Nama hispida",8
"58","Oenothera albicaulis",9
"59","Oenothera caespitosa",1
"60","Oryzopsis asperifolia",2
"61","Pectis angustifolia",11
"62","Phacelia integrifolia",10
"63","Plantago patagonica",78
"64","Polygonum aviculare",1
"65","Polygonum sawatchense",1
"66","Pomaria jamesii",8
"67","Portulaca oleracea",1
"68","Salsola tragus",24
"69","Sanvitalia abertii",8
"70","Senecio flaccidus",3
"71","Sphaeralcea hastulata",5
"72","Sporobolus airoides",2
"73","Sporobolus contractus",4
"74","Sporobolus coromandelianus",7
"75","Sporobolus cryptandrus",9
"76","Sporobolus flexuosus",1
"77","Townsendia annua",17
"78","Tragopogon dubius",2
"79","Verbena bracteata",2
"80","Vulpia octoflora",53
"81","Xanthisma gracile",6
"82","Xanthisma spinulosum",5
"83","Yucca angustissima",25
"84","Yucca baccata",3
